City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,freeport,40.6576,-73.5832,9.03,64,0,5.66,US,1712270906
284,gunjur,13.2019,-16.7339,23.04,83,0,2.57,GM,1712271189
285,palmer,42.1584,-72.3287,3.78,76,100,4.63,US,1712271189
286,haiku-pauwela,20.9219,-156.3051,24.17,81,40,12.35,US,1712271190
287,arauco,-37.2463,-73.3175,14.87,75,2,4.02,CL,1712271190
288,san luis de la loma,17.2706,-100.8939,26.99,58,56,3.23,MX,1712271087
289,wailua homesteads,22.0669,-159.378,27.24,70,75,7.72,US,1712271083
290,auki,-8.7676,160.7034,30.33,68,69,0.96,SB,1712271097
291,usogorsk,63.4106,48.6872,-15.06,92,99,4.23,RU,1712271191
292,nouadhibou,20.931,-17.0347,18.99,77,19,7.72,MR,1712271097
293,ta`u,-14.2336,-169.5144,28.94,78,100,4.8,AS,1712271191
294,quibdo,5.6947,-76.6611,30.19,74,40,2.57,CO,1712271191
295,enewetak,11.3474,162.3373,27.13,76,100,8.65,MH,1712271093
296,olovyannaya,50.95,115.5667,2.48,46,78,6.2,RU,1712271191
297,tralee,52.2704,-9.7026,10.45,95,99,2.35,IE,1712271138
298,waingapu,-9.6567,120.2641,26.18,89,99,2.62,ID,1712271192
299,las tablas,7.7667,-80.2833,28.99,99,67,2.97,PA,1712271192
300,kalmunai,7.4167,81.8167,26.08,87,62,1.87,LK,1712271131
301,paso de los toros,-32.8167,-56.5167,18.99,90,73,2.47,UY,1712271192
302,shantobe,52.4581,68.1839,0.15,93,57,2.62,KZ,1712271193
303,lexington,37.9887,-84.4777,7.62,61,100,5.14,US,1712271043
304,kariba,-16.5167,28.8,24.37,58,84,2.84,ZW,1712271193
305,aswan,24.0934,32.907,30.61,20,0,4.63,EG,1712270662
306,kill devil hills,36.0307,-75.676,15.0,46,40,4.63,US,1712271054
307,xudat,41.631,48.681,11.14,54,13,2.8,AZ,1712271193
308,zholymbet,51.7433,71.7122,4.65,74,1,1.46,KZ,1712271194
309,rizokarpaso,35.6,34.375,17.46,75,61,3.56,CY,1712271194
310,gangtok,27.3333,88.6167,16.18,51,97,2.54,IN,1712271194
311,kovdor,67.5662,30.4758,-21.05,99,21,1.94,RU,1712271194
312,amursk,50.2261,136.8994,-1.68,92,80,1.93,RU,1712271194
313,loikaw,19.6742,97.2094,22.17,48,19,1.62,MM,1712271195
314,praia da vitoria,38.7333,-27.0667,12.14,87,20,7.13,PT,1712271147
315,bowen,-20.0167,148.2333,26.94,79,100,4.67,AU,1712271128
316,peskovka,59.0448,52.3606,4.87,96,100,3.0,RU,1712271196
317,petropavlovsk-kamchatsky,53.0452,158.6483,-2.67,77,0,3.58,RU,1712271129
318,pokhara,28.2333,83.9833,21.0,25,87,2.87,NP,1712271146
319,pikalevo,59.5183,34.1664,-7.38,83,55,1.81,RU,1712271196
320,moyale,3.5167,39.0584,20.45,89,83,0.48,KE,1712271196
321,nar'yan-mar,67.6713,53.087,-15.5,88,100,8.49,RU,1712271103
322,pontes e lacerda,-15.2261,-59.3353,25.15,89,81,1.09,BR,1712271164
323,fuerte olimpo,-21.0415,-57.8738,30.37,53,50,2.12,PY,1712271197
324,lucapa,-8.4192,20.7447,19.96,96,61,0.65,AO,1712271197
325,malvan,16.0667,73.4667,26.81,72,94,5.99,IN,1712271197
326,machico,32.7,-16.7667,21.51,82,20,2.06,PT,1712271197
327,hovd,48.0056,91.6419,1.2,46,17,1.86,MN,1712271198
328,queenstown,-31.8976,26.8753,17.19,57,25,3.1,ZA,1712271198
329,fale old settlement,-9.3852,-171.2468,29.29,76,16,5.01,TK,1712271198
330,oudtshoorn,-33.5907,22.2014,16.2,74,100,3.94,ZA,1712271198
331,coyhaique,-45.5752,-72.0662,10.97,54,40,4.63,CL,1712270973
332,constitucion,-35.3333,-72.4167,14.59,68,0,5.48,CL,1712271137
333,cabo san lucas,22.8909,-109.9124,27.32,68,4,3.13,MX,1712271105
334,ugoofaaru,5.6667,73.0,28.94,71,40,0.47,MV,1712271137
335,siteki,-26.45,31.95,18.35,98,15,1.73,SZ,1712271199
336,dayton,39.7589,-84.1916,6.89,83,100,6.69,US,1712270576
337,kerman,30.2832,57.0788,8.92,87,0,0.0,IR,1712271200
338,inongo,-1.95,18.2667,24.56,83,88,0.96,CD,1712271111
339,north bend,43.4065,-124.2243,9.95,71,75,6.69,US,1712270962
340,fort madison,40.6298,-91.3151,7.78,69,100,5.5,US,1712271200
341,san juan del sur,11.2529,-85.8705,34.12,46,0,0.0,NI,1712271077
342,mel'nikovo,56.5558,84.085,2.92,98,100,2.02,RU,1712271201
343,mbandaka,0.0487,18.2603,24.01,81,93,0.57,CD,1712271201
344,bull savanna,17.8868,-77.5902,25.83,75,18,3.72,JM,1712271201
345,lulea,65.5842,22.1547,-14.96,85,54,0.51,SE,1712271201
346,kourou,5.1552,-52.6478,28.03,90,100,4.0,GF,1712271161
347,calama,-22.4667,-68.9333,22.27,21,0,9.26,CL,1712270523
348,burang,30.25,81.1667,-6.76,94,99,1.91,CN,1712271202
349,gulfport,30.3674,-89.0928,24.03,20,0,4.63,US,1712271001
350,nyala,12.05,24.8833,27.77,24,35,2.7,SD,1712271202
351,boende,-0.2167,20.8667,23.12,80,98,0.84,CD,1712271202
352,sao joao de pirabas,-0.7747,-47.1772,26.21,86,64,2.95,BR,1712271202
353,matoury,4.8483,-52.3317,27.98,83,75,3.09,GF,1712271203
354,namtsy,62.7161,129.6658,-6.27,94,86,3.88,RU,1712271203
355,reggane,26.7158,0.1714,27.14,15,0,7.66,DZ,1712271203
356,ilha de mocambique,-15.0342,40.7358,27.72,79,7,1.45,MZ,1712271203
357,cidade velha,14.9167,-23.6167,23.26,73,0,6.17,CV,1712271203
358,ad dawadimi,24.5077,44.3924,16.64,25,0,2.87,SA,1712271204
359,bossangoa,6.4926,17.4552,26.46,58,34,1.61,CF,1712271204
360,suva,-18.1416,178.4415,27.71,83,75,4.12,FJ,1712271114
361,lagoa,39.05,-27.9833,10.68,88,100,8.86,PT,1712271204
362,yelizovo,53.1873,158.3805,-1.92,60,0,3.13,RU,1712271204
